ReducedComplementCBA:
Count: 261
feasibleCBA | complement | reduced complement
1100110000000001100000000000000 | 0011001111111110011111111111111 | 0011001111111110011111111111111
1111110000000001110000000000000 | 0000001111111110001111111111111 | 0000001111111100001111111111111
1100100010000110101000000000000 | 0011011101111001010111111111111 | 0011011101111001010111111111111
1111100010000110111000000000000 | 0000011101111001000111111111111 | 0000011100110000000110111111111
1111101010000000111010000000000 | 0000010101111111000101111111111 | 0000010101111111000101101111111
1111101010000110111010000000000 | 0000010101111001000101111111111 | 0000000000000000000000000000000
1111000101001110010101000000000 | 0000111010110001101010111111111 | 0000111010110001101010111111111
1111111100001101100010001000000 | 0000000011110010011101110111111 | 0000000011110010011101110111111
1111000101000110010101001000000 | 0000111010111001101010110111111 | 0000111010111001101010110101101
1101000111000000001101001000000 | 0010111000111111110010110111111 | 0010111000111110110010110111101
1101000111011100001000101000000 | 0010111000100011110111010111111 | 0010111000100011110111010111111
1101000110010100001001101000000 | 0010111001101011110110010111111 | 0010111001101010110110010111111
1111101000010010100111101000000 | 0000010111101101011000010111111 | 0000010111101101011000010111111
1100110000000001010110001100000 | 0011001111111110101001110011111 | 0011001111111110101001110011111
0000011101111011110001111100000 | 1111100010000100001110000011111 | 1111100010000100001110000011111
1101000110010100001100000010000 | 0010111001101011110011111101111 | 0010111001101011110001111100111
1111101000010010101010000010000 | 0000010111101101010101111101111 | 0000010111101101010101111101111
1101000111011000001101000010000 | 0010111000100111110010111101111 | 0010111000100110110010111100111
1111000001000110011000100010000 | 0000111110111001100111011101111 | 0000111110111001100111010101111
1101000111011000000001101010000 | 0010111000100111111110010101111 | 0000000000000001101100000001010
1100110000000001101101101010000 | 0011001111111110010010010101111 | 0011001111111110010010010101111
0011001111111110010010011010000 | 1100110000000001101101100101111 | 1100110000000001101101100101110
1111101010010100000011100110000 | 0000010101101011111100011001111 | 0000010101101011111100011001011
1100100010000110010011100110000 | 0011011101111001101100011001111 | 0011011101111001101100011001111
0111101111111100000010111110000 | 1000010000000011111101000001111 | 1000010000000011101100000001011
0011001111111110100010111110000 | 1100110000000001011101000001111 | 1100110000000000001100000001010
0000001111111100110010111110000 | 1111110000000011001101000001111 | 1100110000000011001100000001011
0010111011101111000101111110000 | 1101000100010000111010000001111 | 1101000100010000111010000001111
0111101111111100000010101001000 | 1000010000000011111101010110111 | 1000010000000011111101010110111
0011001111111110100010101001000 | 1100110000000001011101010110111 | 1100110000000001011101010110110
0011001111111100110010101001000 | 1100110000000011001101010110111 | 1000010000000011000000000000001
0000011101111011111010101001000 | 1111100010000100000101010110111 | 1111100010000100000101010110111
1100110000000001011101011001000 | 0011001111111110100010100110111 | 0011001111111110100010100110111
0011001111111110010100100101000 | 1100110000000001101011011010111 | 1100110000000001101011011010110
0011011101111001011100100101000 | 1100100010000110100011011010111 | 1100100010000110100011011010111
